หมวดหมู่,หัวข้อ,คำอธิบาย/เป้าหมาย,ตย.นโยบายที่เกี่ยวข้อง,พื้นที่/กลุ่มเป้าหมายหลัก (Area Focus)
1. เศรษฐกิจปากท้อง,ล้างหนี้สิน ตั้งหลักชีวิตใหม่,แก้หนี้ครัวเรือนพอกพูน ปลดแอกหนี้นอกระบบ,แก้กฎหมายหนี้นอกระบบ พักหนี้เกษตรกรแบบมีเงื่อนไข กองทุนฟื้นฟูฯ,อีสาน ใต้
1. เศรษฐกิจปากท้อง,รายได้คุ้มเหนื่อย สวัสดิการทั่วถึง,ค่าแรงเป็นธรรม ประกันสังคมคนทำงานอิสระ,ค่าแรงขั้นต่ำตามพื้นที่ ประกันสังคมแรงงานนอกระบบ สวัสดิการถ้วนหน้า,ทุกภาค
1. เศรษฐกิจปากท้อง,เกษตรกรยืนได้ เลิกผูกขาดสินค้าเกษตร,แก้ปัญหาราคาตกต่ำ เพิ่มอำนาจต่อรอง หยุดนำเข้าพืชไร่ทำลายตลาด ทลายทุนผูกขาดปัจจัยการผลิต,ปฏิรูปโครงสร้างตลาดสินค้าเกษตร กฎหมาย Contract Farming โรงงานแปรรูปชุมชน,เหนือ ใต้ อีสาน
1. เศรษฐกิจปากท้อง,งานดีใกล้บ้าน ไม่ต้องทิ้งถิ่น,มีงานทำในพื้นที่ ไม่ต้องย้ายเข้าเมืองหลวง,กระจายเขตเศรษฐกิจพิเศษสู่ภูมิภาค ส่งเสริม SME ท้องถิ่น ท่องเที่ยวชุมชน,อีสาน ใต้
2. ทรัพยากร ที่ดิน,มีโฉนดที่ดิน มั่นคง ปกป้องทรัพยากรชุมชน,แก้ปัญหาที่ดินทับซ้อน รับรองสิทธิชุมชน,แก้ปัญหาที่ดินทับซ้อน ทบทวนโครงการทำลายวิถีชีวิต คืนสิทธิการจัดการทรัพยากรให้ท้องถิ่น,เหนือ ชายแดนใต้
2. ทรัพยากร ที่ดิน,น้ำไม่ท่วม ไม่แล้ง รับมือภัยพิบัติ,ระบบจัดการน้ำแม่นยำ จัดการน้ำท่วม/แล้ง/กัดเซาะชายฝั่ง ป้องกันพื้นที่เศรษฐกิจและที่ทำกิน,ผังเมืองรับมือน้ำท่วม ระบบชลประทานท้องถิ่น กองทุนจัดการน้ำชุมชน,อีสาน ใต้
2. ทรัพยากร ที่ดิน,อากาศสะอาด หายใจได้เต็มปอด,แก้ฝุ่น PM2.5 ที่ต้นตอ แก้ฝุ่นพิษข้ามแดน กฎหมายอากาศสะอาดฉบับประชาชน,พ.ร.บ.อากาศสะอาด ภาษีคาร์บอน เจรจาฝุ่นข้ามพรมแดน,เหนือ อีสาน
3. คน อนาคต,หยุดเด็กหลุดระบบ เรียนฟรีจริง,ช่วยเด็กยากจนให้ได้เรียนต่อ ไม่ต้องออกกลางคัน,ทุนเสมอภาค Zero Dropout งบรายหัวสะท้อนต้นทุนจริง,ชายแดนใต้ อีสาน
3. คน อนาคต,เรียนจบมีงานทำ ทักษะตรงตลาด,หลักสูตรตรงความต้องการตลาด ไม่ผลิตบัณฑิตตกงาน,ปฏิรูปหลักสูตรอาชีวะ/อุดมศึกษา แพลตฟอร์ม Reskill/Upskill แห่งชาติ,ใต้
3. คน อนาคต,เด็กเล็กสมบูรณ์ อาหารดี พัฒนาการเด่น,แก้ปัญหาเด็กเตี้ย/แคระแกร็น อาหารกลางวันคุณภาพ,งบอาหารกลางวัน/นมโรงเรียน ศูนย์เด็กเล็กคุณภาพ สวัสดิการเด็กแรกเกิด,ชายแดนใต้
3. คน อนาคต,สูงวัยพึ่งตนเองได้ มีงาน มีเงินออม,มีอาชีพหลังเกษียณ ศูนย์ดูแลผู้สูงอายุในชุมชน,ขยายอายุเกษียณ บำนาญแห่งชาติ จ้างงานผู้สูงอายุ,เหนือ อีสาน
4. สุขภาพ ความปลอดภัย,หมอใกล้บ้าน รักษาไว ไม่ต้องรอคิวข้ามวัน,ลดคิวรอโรงพยาบาลศูนย์ กระจายแพทย์สู่ชุมชน,ยกระดับ รพ.สต. Telemedicine ผลิตแพทย์เพิ่มเพื่อชนบท,ทุกภาค
4. สุขภาพ ความปลอดภัย,ชุมชนปลอดภัย ไร้ยาเสพติด,ปราบปรามแหล่งมั่วสุม บำบัดผู้ติดยาคืนสู่ครอบครัว,บำบัดผู้ติดยาเป็นผู้ป่วย ปราบปรามผู้ค้า ตำรวจชุมชน,ใต้ อีสาน เหนือ
4. สุขภาพ ความปลอดภัย,ถนนปลอดภัย ลดเจ็บ ลดตาย,แก้จุดเสี่ยงอุบัติเหตุ วินัยจราจร,แก้จุดเสี่ยงถนนอันตราย มาตรฐานยานยนต์ กฎหมายจราจรเข้มงวด,ทุกภาค
4. สุขภาพ ความปลอดภัย,พื้นที่สันติสุข ยุติธรรมสำหรับทุกคน,ลดความขัดแย้ง/รุนแรง กระบวนการสันติภาพจับต้องได้,กระบวนการสันติภาพชายแดนใต้ ระบบยุติธรรมชุมชน นิรโทษกรรม,ชายแดนใต้
5. เมือง การเชื่อมต่อ,เดินทางสะดวก รถเมล์ดี ราคาถูก,ขนส่งสาธารณะครอบคลุม ลดภาระค่าเดินทาง,ขนส่งมวลชนเมืองรอง ตั๋วร่วม อุดหนุนรถสาธารณะท้องถิ่น,ชายแดนใต้ เมืองใหญ่
5. เมือง การเชื่อมต่อ,ขยะล้นเมืองจัดการได้ เปลี่ยนขยะเป็นเงิน,ระบบเก็บขยะทั่วถึง แยกขยะได้จริง,โรงไฟฟ้าขยะชุมชน ระบบแยกขยะต้นทาง กฎหมายผู้ก่อมลพิษรับผิดชอบ,ใต้ เมืองท่องเที่ยว
5. เมือง การเชื่อมต่อ,เน็ตแรงทั่วถึง รู้ทันโจรไซเบอร์,ป้องกันแก๊งคอลเซ็นเตอร์ เน็ตทั่วถึงเพื่ออาชีพ,อินเทอร์เน็ตหมู่บ้าน Cyber Security กฎหมายปราบบัญชีม้า,อีสาน ทุกภาค
6. อำนาจ การบริหาร,ท้องถิ่นจัดการตนเอง งบถึงมือ ไม่ต้องรอส่วนกลาง,กระจายอำนาจตัดสินใจ งบประมาณลงพื้นที่โดยตรง,การกระจายอำนาจ จังหวัดจัดการตนเอง เลือกตั้งผู้ว่าฯ/ผู้นำท้องถิ่น,ทุกภาค
6. อำนาจ การบริหาร,ราชการโปร่งใส ตรวจสอบง่าย ไม่โกง,ระบบราชการตรวจสอบได้ ร้องเรียนแล้วเรื่องไม่เงียบ,Open Data รัฐ พ.ร.บ.ข้อมูลข่าวสาร ลดขั้นตอนราชการด้วยดิจิทัล,ทุกภาค